,img_1,img_2,img_2F,img_3,img_3F,img_4,img_5,img_5F,img_6,img_6F,img_B1,img_B2
img_1,44,0,0,0,2,0,0,0,0,0,0,0
img_2,0,19,0,0,1,0,0,0,0,0,2,0
img_2F,0,0,0,0,0,0,0,0,0,0,0,0
img_3,0,0,0,0,0,0,0,0,0,0,0,0
img_3F,2,2,0,0,2,0,1,0,0,0,1,0
img_4,0,0,0,0,0,6,0,0,2,0,1,0
img_5,0,0,0,0,1,0,61,0,2,2,1,0
img_5F,0,0,0,0,0,0,1,3,0,0,0,0
img_6,0,0,0,0,0,3,2,0,62,0,3,0
img_6F,0,0,0,0,2,0,1,0,0,8,0,0
img_B1,0,1,0,0,0,1,1,1,4,0,7,0
img_B2,0,0,0,0,0,0,0,0,0,0,0,0
