,img_1,img_2,img_2F,img_3,img_3F,img_4,img_5,img_5F,img_6,img_6F,img_B1,img_B2
img_1,124,1,2,0,3,0,0,0,0,1,0,0
img_2,1,378,9,0,3,0,1,0,0,0,0,0
img_2F,2,7,628,5,2,1,6,0,1,0,0,0
img_3,1,1,4,261,0,3,0,1,0,0,0,1
img_3F,1,3,2,0,62,0,4,0,4,6,0,1
img_4,1,1,0,2,0,57,0,0,2,1,1,1
img_5,0,0,7,0,1,0,446,0,7,6,1,2
img_5F,0,0,0,0,1,3,3,1277,3,7,0,1
img_6,0,1,0,1,1,1,5,4,926,6,2,0
img_6F,1,0,0,1,7,0,6,9,4,1450,0,1
img_B1,0,0,0,0,1,1,0,2,0,0,6,1
img_B2,0,0,0,2,1,0,0,2,0,2,1,109
