,event_type,img_id,loc_left,loc_top,time
10330,mouseout,img_5F,212px,462.267px,1634202679.314
10331,mouseover,img_5F,212px,462.267px,1634202679.314
10332,mouseout,img_5F,213px,461.267px,1634202679.312
10333,mouseout,img_5F,212px,462.267px,1634202679.374
10334,mouseover,img_5F,212px,459.267px,1634202679.377
10335,mouseout,img_5F,212px,459.267px,1634202679.377
10336,mouseover,img_5F,212px,462.267px,1634202679.375
10337,mouseover,img_5F,212px,458.267px,1634202679.412
10338,mouseout,img_5F,212px,458.267px,1634202679.412
10339,mouseout,img_5F,212px,455.267px,1634202679.414
10340,mouseover,img_5F,212px,455.267px,1634202679.414
10341,mouseout,img_5F,212px,455.267px,1634202679.429
10342,mouseover,img_5F,212px,455.267px,1634202679.43
10343,mouseout,img_5F,212px,453.267px,1634202679.436
10344,mouseover,img_5F,212px,453.267px,1634202679.437
10345,mouseout,img_5F,212px,453.267px,1634202679.446
10346,mouseover,img_5F,212px,453.267px,1634202679.447
10347,mouseout,img_5F,212px,451.267px,1634202679.449
10348,mouseover,img_5F,212px,451.267px,1634202679.45
10349,mouseout,img_5F,212px,451.267px,1634202679.494
10350,mouseover,img_5F,212px,451.267px,1634202679.495
10351,mouseout,img_5F,210px,450.267px,1634202679.496
10352,mouseover,img_5F,210px,450.267px,1634202679.496
10353,mouseout,img_5F,210px,450.267px,1634202679.52
10354,mouseover,img_5F,210px,450.267px,1634202679.521
10355,mouseout,img_5F,210px,448.267px,1634202679.525
10356,mouseover,img_5F,210px,448.267px,1634202679.527
10357,mouseover,img_5F,210px,448.267px,1634202679.546
10358,mouseout,img_5F,210px,448.267px,1634202679.545
10359,mouseout,img_5F,209px,447.267px,1634202679.549
10360,mouseout,img_5F,209px,447.267px,1634202679.561
10361,mouseover,img_5F,209px,447.267px,1634202679.549
10362,mouseover,img_5F,209px,447.267px,1634202679.562
10363,mouseout,img_5F,207px,445.267px,1634202679.563
10364,mouseover,img_5F,207px,445.267px,1634202679.565
10365,mouseover,img_5F,207px,445.267px,1634202679.579
10366,mouseout,img_5F,207px,445.267px,1634202679.578
10367,mouseout,img_5F,206px,442.267px,1634202679.581
10368,mouseover,img_5F,206px,442.267px,1634202679.581
10369,mouseout,img_5F,206px,442.267px,1634202679.604
10370,mouseover,img_5F,206px,442.267px,1634202679.605
10371,mouseout,img_5F,205px,441.267px,1634202679.61
10372,mouseout,img_5F,205px,440.267px,1634202679.628
10373,mouseover,img_5F,205px,440.267px,1634202679.629
10374,mouseover,img_5F,205px,441.267px,1634202679.611
10375,mouseout,img_5F,203px,438.267px,1634202679.631
10376,mouseover,img_5F,203px,438.267px,1634202679.632
10377,mouseout,img_5F,203px,438.267px,1634202679.666
10378,mouseover,img_5F,202px,436.267px,1634202679.669
10379,mouseover,img_5F,203px,438.267px,1634202679.667
10380,mouseout,img_5F,202px,436.267px,1634202679.668
10381,mouseout,img_5F,202px,436.267px,1634202679.678
10382,mouseover,img_5F,202px,436.267px,1634202679.679
10383,mouseout,img_5F,201px,435.267px,1634202679.681
10384,mouseover,img_5F,201px,435.267px,1634202679.681
10385,mouseover,img_5F,201px,435.267px,1634202679.695
10386,mouseout,img_5F,201px,435.267px,1634202679.695
10387,mouseover,img_5F,201px,433.267px,1634202679.698
10388,mouseout,img_5F,201px,433.267px,1634202679.697
10389,mouseout,img_5F,201px,433.267px,1634202679.718
10390,mouseover,img_5F,201px,433.267px,1634202679.718
10391,mouseover,img_5F,201px,432.267px,1634202679.72
10392,mouseout,img_5F,201px,432.267px,1634202679.719
10393,mouseout,img_5F,201px,432.267px,1634202679.728
10394,mouseover,img_5F,201px,432.267px,1634202679.728
10395,mouseout,img_5F,199px,431.267px,1634202679.73
